expo,table,project,sponsors,link,cortex,jid
2,82,MyReads,"Twilio Hack, Insights by Qualtrics, Firebase",http://mhacksrefactor.devpost.com/submissions/48945-myreads,Web Development,a282
2,83,clips with a 'z',Firebase,http://mhacksrefactor.devpost.com/submissions/48946-clips-with-a-z,Web Development,a283
2,84,Whatstheplan,,http://mhacksrefactor.devpost.com/submissions/48948-whatstheplan,Web Development,a284
2,85,FeatureQuest,"Cloud Services by Linode, Firebase, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48967-featurequest,Web Development,a285
2,86,Pika-Health,"Esri ArcGIS, Blackrock, Insights by Qualtrics, Capital One API, Meridian Health, Domain.com Domain Name, Cloud Services by Linode, Firebase, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48440-pika-health,Android,a286
2,87,hack,Firebase,http://mhacksrefactor.devpost.com/submissions/48507-hack,Android,a287
2,88,DebtDestroyer,Blackrock,http://mhacksrefactor.devpost.com/submissions/48517-debtdestroyer,Android,a288
2,89,World Conflicts,Esri ArcGIS,http://mhacksrefactor.devpost.com/submissions/48627-world-conflicts,Android,a289
2,90,Snatch N' Go,"Esri ArcGIS, Concur, Disney, Twilio Hack, Firebase",http://mhacksrefactor.devpost.com/submissions/48638-snatch-n-go,Android,a290
2,91,NFCompanion,"Concur, Disney, Firebase, Twilio, Linode, Target",http://mhacksrefactor.devpost.com/submissions/48845-nfcompanion,Android,a291
2,92,Get Outside,"Esri ArcGIS, Concur",http://mhacksrefactor.devpost.com/submissions/48853-get-outside,Android,a292
2,93,Edible,Meridian Health,http://mhacksrefactor.devpost.com/submissions/48867-edible,Android,a293
2,94,Split It,"Blackrock, Concur, Disney, Cloud Services by Linode, Firebase",http://mhacksrefactor.devpost.com/submissions/48874-split-it,Android,a294
2,95,DoubleRainbow,"Esri ArcGIS, MongoDB, Concur, Disney, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48890-doublerainbow,Android,a295
2,96,TIN,"Concur, Disney, Twilio Hack, Firebase",http://mhacksrefactor.devpost.com/submissions/48911-tin,Android,a296
2,97,FireNode - Wardriving as a Service,"Insights by Qualtrics, MongoDB, Concur, Cloud Services by Linode, Firebase",http://mhacksrefactor.devpost.com/submissions/48922-firenode-wardriving-as-a-service,Android,a297
2,98,Keller,"Concur, Meridian Health, Domain.com Domain Name, Disney, Cloud Services by Linode, Firebase",http://mhacksrefactor.devpost.com/submissions/48929-keller,Android,a298
2,99,wayfarer,"Twilio Hack, Esri ArcGIS, MongoDB, Concur, Cloud Services by Linode",http://mhacksrefactor.devpost.com/submissions/48947-wayfarer,Android,a299
2,100,Square Link,,http://mhacksrefactor.devpost.com/submissions/48949-square-link,Android,a2100
2,101,StickTogether,"Concur, Cloud Services by Linode, Firebase",http://mhacksrefactor.devpost.com/submissions/48956-sticktogether,Android,a2101
2,102,Custom-Monopoly,Firebase,http://mhacksrefactor.devpost.com/submissions/48621-custom-monopoly,iOS,a2102
2,103,Rapid,,http://mhacksrefactor.devpost.com/submissions/48745-rapid,iOS,a2103
2,104,Hymn,Cloud Services by Linode,http://mhacksrefactor.devpost.com/submissions/48750-hymn,iOS,a2104
2,105,PureFlint,"Esri ArcGIS, Insights by Qualtrics, Meridian Health, Disney, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48784-pureflint,iOS,a2105
2,106,Shia LaBUFF,"Meridian Health, Disney, Qualtrics",http://mhacksrefactor.devpost.com/submissions/48786-shia-labuff,iOS,a2106
2,107,Smart Door,Twilio Hack,http://mhacksrefactor.devpost.com/submissions/48939-smart-door,Hardware,a2107
2,108,stepUP,"Meridian Health, Disney",http://mhacksrefactor.devpost.com/submissions/48871-stepup,iOS,a2108
2,109,Survu,"Blackrock, Visa API, Disney, Firebase",http://mhacksrefactor.devpost.com/submissions/48875-survu,iOS,a2109
2,110,BetKeep,"Visa API, Firebase",http://mhacksrefactor.devpost.com/submissions/48885-betkeep,iOS,a2110
2,111,BetKeep,"Visa API, Firebase",http://mhacksrefactor.devpost.com/submissions/48895-betkeep,iOS,a2111
2,112,Julie,"Disney, Cloud Services by Linode, Twilio Hack, Firebase, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48906-julie,iOS,a2112
2,113,Project Tic Toc,"Blackrock, Target API, Meridian Health, Visa API, Disney, Firebase, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48913-project-tic-toc,iOS,a2113
2,114,ALL THE FEELS,"Target API, Domain.com Domain Name, Twilio Hack, Firebase, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48917-all-the-feels,iOS,a2114
2,115,KittyWars,Firebase,http://mhacksrefactor.devpost.com/submissions/48925-kittywars,iOS,a2115
2,116,SSH 4 SMS,"MongoDB, Concur, Disney, Cloud Services by Linode, Twilio Hack, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48926-ssh-4-sms,iOS,a2116
2,117,Zwapp,"Cloud Services by Linode, Twilio Hack, Firebase, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48934-zwapp,iOS,a2117
2,118,KeyFind,"Esri ArcGIS, Concur, Firebase",http://mhacksrefactor.devpost.com/submissions/48944-keyfind,iOS,a2118
2,119,selfScript,,http://mhacksrefactor.devpost.com/submissions/48954-selfscript,iOS,a2119
2,120,JoyJar,Disney,http://mhacksrefactor.devpost.com/submissions/48976-joyjar,iOS,a2120
2,121,QuizSkim,"Insights by Qualtrics, Domain.com, MongoDB",http://mhacksrefactor.devpost.com/submissions/49060-quizskim,Web Development,a2121
2,122,Pear,Target,http://mhacksrefactor.devpost.com/submissions/49048-pear,iOS,a2122
2,123,VRChat,,http://mhacksrefactor.devpost.com/submissions/49086-vrchat,Virtual/Augmented Reality,a2123
2,124,Sign To Speak,"Qualtrics, Meridian Health, Disney",http://mhacksrefactor.devpost.com/submissions/49132-sign-to-speak,Hardware,a2124
2,125,Perodic Table of Elements the Game,,http://mhacksrefactor.devpost.com/submissions/49134-perodic-table-of-elements-the-game,Android,a2125
2,126,Cerebellium,"Concur, Linode, Disney",http://mhacksrefactor.devpost.com/submissions/49146-cerebellium,Web Development,a2126
